trip_id,start_time,station,user_type,duration_min
513798,2025-10-17 09:22:00,Спальный район,Подписчик,12.7
510346,2025-08-13 17:18:00,Парк Горького,Разовая поездка,8.9
523315,2026-06-22 14:07:00,парк горького,Подписчик,17.4 мин
513316,2025-10-05 13:32:00,Набережная,Подписчик,21.1
516585,2026-01-25 12:31:00,центральный вокзал,Подписчик,32.0
514489,2025-11-05 11:00:00,Университет,Разовая поездка,9.4
519170,2026-04-13 22:55:00,Парк Горького ,Подписчик,21.2
512474,2025-09-18 14:30:00,Деловой квартал ,Разовая поездка,5.3
513235,2025-10-04 19:45:00,Парк Горького,Разовая поездка,9.4
515422,2025-12-06 09:16:00,Деловой квартал,Подписчик,11.8
520203,2026-05-03 10:46:00,Набережная,Подписчик,9.1
505968,2025-06-06 12:46:00,Центральный вокзал,Разовая поездка,
521949,2026-06-01 11:55:00,Деловой квартал,Подписчик,2.2
504097,2025-05-04 15:44:00,парк горького,Подписчик,3.4
515300,2025-12-01 19:40:00,Деловой квартал ,Подписчик,16.2
504411,2025-05-09 09:20:00,набережная ,Разовая поездка,61.6
512586,2025-09-20 10:15:00,Центральный вокзал,Подписчик,10.5
513896,2025-10-20 18:38:00,Парк Горького ,Подписчик,33.5
520194,2026-05-03 14:43:00,Университет,Подписчик,12.7
511642,2025-09-02 09:47:00,набережная ,Подписчик,6.3
512623,2025-09-21 19:43:00,Парк Горького ,Разовая поездка,1.8 мин
518644,2026-04-01 17:41:00,Деловой квартал ,Подписчик,-8.474416237374237
501646,2025-03-09 16:41:00,парк горького,Подписчик,21.1
506027,2025-06-07 13:15:00,Набережная,Разовая поездка,
509822,2025-08-04 08:18:00,центральный вокзал,Подписчик,8.2
508820,2025-07-20 06:59:00,Центральный вокзал,Разовая поездка,18.2
518179,2026-03-22 17:54:00,парк горького,Разовая поездка,31.4
500146,2025-01-09 08:17:00,Университет,Подписчик,12.5
518170,2026-03-21 14:11:00,Центральный вокзал,Разовая поездка,22.9
506712,2025-06-18 10:16:00,Деловой квартал ,Подписчик,24.5
500708,2025-02-01 08:29:00,Центральный вокзал,Разовая поездка,7.5
511126,2025-08-25 22:25:00,Парк Горького,Разовая поездка,3.7
502293,2025-03-26 10:30:00,Деловой квартал,Подписчик,3.7 мин
512852,2025-09-25 10:35:00,центральный вокзал,Разовая поездка,
509718,2025-08-03 13:01:00,Парк Горького,Подписчик,27.6
